,PC1,PC2,PC3,PC4
0,808004785.4353691,67139067.82603025,-70000182.83349228,68254903.01034741
1,837122948.0603894,136931101.22515416,-40253875.47410371,71621740.34298733
2,752129338.1240861,-66786315.2813824,-127080990.12785341,61794208.892791584
3,817079535.2712888,88889933.48996018,-60729670.08496598,69304186.47391681
4,797212486.8782928,41271485.75883454,-81025295.72015285,67007025.03965107
5,711747903.8387561,-163574785.30402434,-168333543.43395373,57125036.51923993
6,711334048.75017,-164566736.22266427,-168756326.31438008,57077183.81711388
7,701737220.2189624,-187568949.17136744,-178560180.17840633,55967534.111880094
8,736761585.972619,-103620599.2723307,-142780259.50852582,60017286.27825063
9,726994405.4679015,-127031121.31587367,-152758140.2240594,58887939.33485359
10,860756779.2088212,193577983.5886473,-16110209.045881605,74354442.47287531
11,795042002.3216884,36069147.52693626,-83242602.54582705,66756059.05222949
12,856383743.8417763,183096448.94229242,-20577580.692807637,73848802.78261322
13,943730215.1533818,392453334.59402704,68653151.8864668,83948387.85167523
14,876102485.8107506,230359427.57909855,-433460.7871847688,76128816.03312632
15,877366096.626022,233388120.33552706,857408.9760539718,76274923.19385521
16,763600038.3638791,-39292702.28943101,-115362840.89726381,63120528.2178821
17,846011312.7958573,158235228.70297784,-31173768.574889034,72649472.71074313
18,863568588.8421438,200317485.47171858,-13237742.308667488,74679562.76873627
19,792149024.9832909,29135098.36928828,-86197987.9593806,66421553.60183427
20,786287915.0241143,15086863.688598625,-92185535.33859009,65743852.74291058
21,754750754.3752507,-60503158.85724958,-124403023.98938207,62097314.62835309
22,851192016.9314262,170652628.82251373,-25881304.914346512,73248500.48312058
23,908196797.6200354,307284861.0468929,32353198.036771946,79839775.70308855
24,1052336612.7590119,652767195.2817637,179602435.5338234,96506188.24357449
25,1191967110.9521353,987441347.5944086,322245079.90274334,112651203.3032678
26,944415631.3291248,394096178.24621814,69353354.04192515,84027640.26882054
27,895958511.4289882,277951455.30997086,19850904.287020944,78424702.94022192
28,826340670.2076116,111087537.3400213,-51268751.48716306,70375021.03342329
29,806776247.0852036,64194438.70678743,-71255223.53908423,68112851.16342385
30,863912299.0004592,201141309.11601362,-12886617.54356894,74719304.84338824
31,865154866.33665,204119563.69013828,-11617245.214928169,74862978.81587332
32,872256539.491152,221141249.30854267,-4362372.8818015605,75684121.9150684
33,959239259.2357923,429626274.9518845,84496761.18513703,85741647.58734642
34,1051282434.6641127,650240482.5301682,178525516.42920092,96384297.09918065
35,1030158789.9488721,599610154.7700496,156946186.8423082,93941839.56693384
36,862078510.1091458,196745981.8009748,-14759965.415675849,74507269.86786579
37,967212733.6664932,448737542.40858614,92642241.5230358,86663594.1994948
38,896583803.3788131,279450189.86985284,20489685.200788558,78497003.39089173
39,830600471.6157942,121297666.52921805,-46917056.51212117,70867567.8536121
40,884043893.9876057,249393836.8532459,7679261.555130767,77047054.92987585
41,905823894.8360761,301597355.5376005,29929106.364007246,79565404.76210472
42,838568935.6943268,140396924.89489788,-38776694.61103562,71788935.13524148
43,824811510.7277449,107422362.75928701,-52830898.4012848,70198209.35439628
44,863533516.377001,200233421.83454955,-13273571.366336212,74675507.45501684
45,909570636.182864,310577753.8058683,33756673.40980392,79998628.13559008
46,950307805.4717,408218869.29126376,75372635.72934648,84708932.97707146
47,898006743.3928314,282860771.72086936,21943321.25455039,78661533.26262376
48,869993864.45476,215717943.80179274,-6673858.944766107,75422496.24583252
49,787467351.9230549,17913803.715816032,-90980655.3137486,65880227.150684625
50,807938648.7867954,66980547.82451993,-70067746.19939208,68247255.84737675
51,801537422.8645489,51637733.13136791,-76607061.06661567,67507103.15686478
52,872614278.6355171,221998698.40770876,-3996916.4936406733,75725486.11522658
53,904529219.8373873,298494206.416825,28606502.292544086,79415705.75209452
54,872951976.371227,222808111.14277932,-3651933.8527200827,75764532.99326333
55,870041963.8355031,215833231.07563585,-6624721.951407813,75428057.81899177
56,848845167.9786968,165027570.58655593,-28278780.715712596,72977142.06094548
57,867167023.7649136,208942414.64566532,-9561680.992432255,75095637.95845968
58,847776960.8977456,162467232.38009074,-29370031.443398908,72853628.79105096
59,788964445.1490657,21502120.114001054,-89451266.3952174,66053331.11433856
60,754299349.6346023,72382504.06091484,-79924775.47462857,61797208.4908436
61,950560856.2450458,542793010.4074975,120570536.45945606,84490280.71265252
62,809593596.0950847,204914832.60946283,-23437706.850114696,68190700.26643081
63,911033185.9681304,448050889.49546385,80190164.78561468,79919826.26213029
64,793270870.8215294,165791615.86920726,-40112550.286589935,66303357.25206794
65,765138745.5020005,98362971.5837427,-68851549.28196144,63050532.16856239
66,779210820.5843562,132091704.63570613,-54475907.660106875,64677639.90696365
67,809125629.2031454,203793183.50775757,-23915768.848080587,68136590.7945426
68,700035231.578636,-57680755.37295364,-135359493.49120656,55522827.0730981
69,746401030.4863293,53451372.9695852,-87993479.26039374,60883951.83671576
70,971167432.6171585,592183999.9738693,141621643.36765453,86872951.33377573
71,835574276.196222,267186773.20892453,3103435.379455169,71194760.81855215
72,840161754.6358033,278182296.9511369,7789876.121808005,71725195.8556786
73,917103728.6476778,462601104.18098706,86391662.82343985,80621743.13739152
74,911599355.76244,449407916.7812558,80768548.14503364,79985290.61250386
75,929662677.3770949,492703091.74349076,99221536.52896783,82073893.05445266
76,969287548.4859542,587678189.0214036,139701205.87690455,86655586.51733863
77,775904990.22783,124168106.37761152,-57853052.266708374,64295397.62048913
78,735847224.6921687,28155423.635165103,-98774954.55494572,59663649.999447115
79,695464788.3364058,-68635448.20568159,-140028531.54840854,54994361.75978794
80,754236219.197349,72231189.51400904,-79989267.7784299,61789908.926139675
81,731050313.5322051,16657919.888124779,-103675345.95592166,59108998.946010314
82,775363872.1943194,122871124.54694815,-58405843.4420897,64232829.92281385
83,705363240.0677613,-44910287.97728783,-129916547.7884839,56138887.163201265
84,698150337.0952606,-62198575.416440256,-137285049.4187716,55304882.92614819
85,694427645.4388508,-71121330.0477896,-141088047.96788484,54874440.339227065
86,695401657.8991549,-68786762.75258861,-140093023.85220838,54987062.195078336
87,648419585.6755282,-181396009.2911653,-188088605.8105325,49554679.775752306
88,704177790.7462175,-47751638.91373065,-131127569.93750204,56001817.558807805
89,653440960.6123438,-169360498.2662148,-182958908.44051743,50135284.83714174
90,706690983.3907063,-41727878.85574304,-128560162.03408992,56292409.754769616
91,766863308.7161694,102496500.71444882,-67089783.33229941,63249937.738467716
92,736395357.218689,29469218.193271056,-98214997.56804316,59727028.75991155
93,671958220.1328812,-124977299.65714239,-164042189.68168455,52276374.62549031
94,658917275.5254742,-156234561.7762218,-177364457.00824168,50768493.11103771
95,696212332.8789762,-66843691.82479278,-139264860.77650636,55080797.875514105
96,666528000.4596417,-137992752.50970823,-169589551.49531707,51648496.192509
97,697667339.1468381,-63356251.791221015,-137778466.72716254,55249035.46264991
98,682465930.6871513,-99791833.96014947,-153307804.00577572,53491346.621844165
99,693134974.5810395,-74219675.53216124,-142408604.66461587,54724973.061399736
100,760604376.7953253,87494744.20639828,-73483734.5941463,62526238.03512733
101,758565163.4653672,82607044.1593469,-75566938.37542368,62290450.507702194
102,711910768.2731392,-29216807.8262145,-123227774.56643689,56895956.30531379
103,741216318.0690222,41024365.57723363,-93290037.67038941,60284460.5999323
104,682129235.021861,-100598844.8770091,-153651762.95934284,53452415.609944925
105,695548962.2527196,-68433695.47646256,-139942541.81002268,55004094.51278408
106,794414233.184899,168532090.44104856,-38944523.00677598,66435560.48000437
107,693630999.4450834,-73030775.52071626,-141901879.42052144,54782326.78428693
108,731337907.7463067,17347241.71294261,-103381547.68308337,59142252.518675774
109,667552116.4415667,-135538094.30426034,-168543343.01155022,51766911.35370238
110,733400168.69621,22290183.578707628,-101274799.0924845,59380704.96655832
111,701915115.7098317,-53174944.420483515,-133439056.00046241,55740191.88955667
112,683651380.0086943,-96950483.02370629,-152096781.85675797,53628416.22623928
113,684094295.1398203,-95888879.37712312,-151644312.04283932,53679629.04546384
114,691026618.3912452,-79273101.03535338,-144562442.87385803,54481190.77260255
115,698620308.1280618,-61072122.678323776,-136804940.04608405,55359224.130257525
116,778333006.8855548,129987711.88818353,-55372657.78905583,64576141.197390825
117,772024973.5135225,114868266.28809091,-61816769.73163128,63846764.054815255
118,780685868.2608575,135627181.0333809,-52969039.86353289,64848194.81625783
119,784048816.6320314,143687682.92915705,-49533545.07730841,65237041.47082236
120,754421602.2272966,72675525.88194562,-79799885.61652803,61811344.15602342
121,826294101.9215997,244943534.8130087,-6376933.278278082,70121724.80321845
122,777397073.1016343,127744413.68479265,-56328781.78501565,64467922.253715865
123,683240711.9644738,-5201606.076341662,-105054267.14469613,50358965.23384328
124,880866036.4334296,468477774.8471625,96834283.28880766,73209731.2270653
125,678519958.1573818,-16516571.639810368,-109876858.30616917,49813120.00450672
126,751437617.3126907,158256533.67900416,-35386200.049554564,58244349.00113878
127,670825059.3068916,-34960133.63553889,-117737753.55748571,48923384.1700606
128,666229564.3038512,-45974871.92339025,-122432383.79873279,48392022.2040794
129,690087859.2291434,11210017.718008269,-98059411.4014685,51150678.341900334
130,750534751.8530875,156092495.47635388,-36308542.36254273,58139953.63887341
131,656601671.5892388,-69051541.2364464,-132267971.97097509,47278780.64953356
132,746073534.2879902,145399600.82796437,-40865998.49730777,57624117.73120916
133,663527982.4180689,-52450173.80390641,-125192244.9261647,48079647.180031195
134,710335694.3864561,59741156.367010914,-77374784.56879488,53491868.89676658
135,735941600.1458746,121114816.9578236,-51216501.412539005,56452595.524921365
136,666227560.1629863,-45979675.559800096,-122434431.17345642,48391790.47186583
137,840479591.7959127,371677295.7335075,55576611.54588114,68539979.52303848
138,901611900.5956266,518202617.14403135,118027682.74028294,75608507.23709208
139,951634254.5111905,638098980.1163934,169129132.15432963,81392427.4245792
140,768699282.5813913,199630254.0772993,-17752161.555082504,60240258.557673
141,707800456.1924297,53664556.30852619,-79964713.59418319,53198727.64651382
142,643853331.5480714,-99607472.43967201,-145291322.58790097,45804732.038338736
143,650897886.6879263,-82722690.45894912,-138094800.43439734,46619270.76944383
144,651065232.4501389,-82321586.81872422,-137923844.64497554,46638620.40928658
145,653238723.2180401,-77112043.13221094,-135703466.75721604,46889933.99502869
146,707654153.9092976,53313890.85060504,-80114171.94900702,53181811.19491477
147,664515021.7939701,-50084382.87202973,-124183912.87480113,48193775.29533101
148,662145125.2213162,-55764682.92671105,-126604933.48547487,47919751.95264769
149,665738549.7919449,-47151762.84379889,-122933990.60603474,48335247.811786115
150,692371577.7445815,16683761.407078255,-95726427.90392923,51414737.199464366
151,740377765.9501331,131747666.15110308,-46684637.46183816,56965534.779983774
152,639728809.6482605,-109493356.17120014,-149504819.76910147,45327827.14258326
153,611279028.0016574,-177683376.82763037,-178568327.65816584,42038272.50320851
154,647706292.3606908,-90372481.44167875,-141355244.68175542,46250237.219159015
155,647950797.5461991,-89786437.79967354,-141105464.96547455,46278508.549228676
156,639739832.4230169,-109466936.17094578,-149493559.2081216,45329101.66975856
157,795262165.603759,263297651.0538306,9383743.031696476,63311637.31787227
158,654886127.0089211,-73163454.00328892,-134020524.73440783,47080417.87468784
159,745803977.3416431,144753511.7308492,-41141370.3976528,57592949.74853764
160,682029208.8116593,-8105404.286099753,-106291905.16513987,50218883.11073952
161,687412331.1745756,4797163.110833919,-100792656.6575124,50841315.8366992
162,648171253.0413297,-89258037.79458696,-140880253.74587694,46303999.09273404
163,651117340.1126204,-82196692.27206552,-137870612.9021642,46644645.44685197
164,696343784.9386618,26204568.77145746,-91668531.20172597,51874030.44698934
165,658507609.5516574,-64483283.01063867,-130320918.60883714,47499157.98481783
166,595470364.859929,-215574460.82875207,-194718019.47803405,40210368.801656045
167,669981316.0027723,-36982464.56408431,-118599698.3161463,48825824.90816823
168,690048778.482251,11116346.808029052,-98099335.208598,51146159.5638027
169,675695121.6083845,-23287297.1595207,-112762632.97912236,49486493.44938607
170,676083924.9361602,-22355391.696004163,-112365442.2827412,49531449.498841085
171,632871641.6792666,-125928998.14759935,-156509912.38594714,44534955.3734578
172,670946309.8291848,-34669513.6327277,-117613887.38672608,48937403.9690579
173,650537141.3322539,-83587345.01272534,-138463327.8846505,46577558.97099001
174,625657736.6363342,-143219687.40495703,-163879437.70359623,43700835.2702963
175,615714191.7355118,-167052929.4525692,-174037487.39480782,42551095.8920949
176,604390795.8492587,-194193475.16838285,-185605154.58322763,41241808.884770945
177,667844901.8408703,-42103140.97701468,-120782199.77151895,48578798.368379354
178,636062233.9360657,-118281608.98307277,-153250491.82595354,44903873.05764536
179,659791261.7755768,-61406553.89011144,-129009575.09836237,47647582.46768355
180,625691807.0310363,-143138025.58598906,-163844632.33329484,43704774.71792896
181,648917795.5134764,-87468683.23190714,-140117606.66133076,46390319.342332035
182,648445820.3398105,-88599939.60643351,-140599763.40874186,46335746.40600907
183,602187242.9683851,-199475073.40104422,-187856243.0918414,40987019.31582361
184,605611317.6359363,-191268060.5947668,-184358303.37654668,41382933.802905545
185,590306695.921711,-227951030.03880396,-199993080.45342594,39613310.753095016
186,553941832.9628801,-190127949.15745848,-178766487.17526093,28114270.633726314
187,527497194.2515332,-253511931.58580533,-205781596.65334937,25056564.074144103
188,522921740.65714085,-264478633.5095579,-210455753.1473604,24527519.43029973
189,520901566.66539866,-269320699.0107155,-212519506.86876348,24293933.35890458
190,533790196.5670791,-238428513.25878683,-199352840.02120098,25784203.225117043
191,623844262.1870619,-22581914.817306485,-107356104.19032389,36196858.51486835
192,575151655.735308,-139291065.03171423,-157099120.4752527,30566692.65116163
193,555983050.4337031,-185235445.47399724,-176681236.01926,28350289.89336519
194,572055258.0991558,-146712683.28497648,-160262314.4232365,30208666.38101732
195,576171763.4355034,-136846014.09908608,-156057006.74093303,30684644.347927675
196,625068792.2553984,-19646892.970837403,-106105158.23424268,36338446.897601716
197,623475500.2678635,-23465783.916690875,-107732821.13951595,36154219.78772158
198,572828856.472907,-144858479.63073012,-159472027.77996853,30298115.015671372
199,570749560.3256525,-149842252.40597904,-161596179.05571815,30057692.843972526
200,575065477.6780499,-139497621.3973057,-157187157.58841515,30556728.166144606
201,1137712994.4207833,1209087273.403009,417597940.755824,95613809.16678992
202,870952826.6788735,569701650.884336,145083151.85652742,64769208.73026751
203,738241624.8215532,251612053.2767965,9509068.720885243,49424249.13832381
204,734523943.5173055,242701307.73647192,5711188.608581095,48994385.881936915
205,670206052.812955,88540606.25244616,-59994184.70900531,41557519.81423003
206,660251485.1373762,64680944.20457968,-70163494.96119666,40406505.90885342
207,645938913.1512387,30375774.783432346,-84784821.54988693,38751590.304817304
208,566542868.6503878,-159925085.2303141,-165893618.60058418,29571286.92744635
209,676423899.84607,103443888.21409424,-53642204.628992476,42276469.00718977
210,599547060.4123025,-80818800.83243501,-132177451.65210676,33387453.02242171
211,617221578.6991816,-38455531.33371671,-114121653.96455382,35431099.414915524
212,557212590.8542017,-182288414.5365035,-175425171.62636977,28492457.606632773
213,605470298.7382886,-66621653.423039116,-126126435.65646519,34072337.5799697
214,579718090.6957381,-128345979.47177283,-152434177.16754484,31094694.500215862
215,638117753.4262646,11629583.693881534,-92774701.40879107,37847255.34090907
216,600904865.8482047,-77564337.1647349,-130790355.27686876,33544451.597232036
217,637303070.1646982,9676905.493273329,-93606959.23395087,37753056.19608407
218,796848716.1315733,392084792.8108808,69380447.76352255,56200794.26317177
219,596084907.0683041,-89117082.73049271,-135714291.48716077,32987135.623318046
220,575629643.3314822,-138145397.7479176,-156610821.60372838,30621960.784335416
221,566238239.2389189,-160655237.96460828,-166204819.55858415,29536063.631004438
222,636734896.2295207,8315074.571072865,-94187389.9680954,37687360.11350427
223,654423443.5024537,50711969.524660476,-76117260.65747713,39732628.63149383
224,756589534.4389973,295589344.6092414,28252784.315561995,51545757.55465433
225,776809311.6242023,344053232.34850574,48908747.90210494,53883703.858528875
226,704981905.0993578,171893305.23666546,-24468138.50486354,45578537.18614181
227,643442755.7040852,24392845.6349361,-87334826.7681589,38462967.83271007
228,600539110.1403745,-78441000.80953771,-131164001.16392832,33502160.468234412
229,608790158.0808531,-58664429.71006798,-122734959.42680895,34456201.99197826
230,627780394.8454889,-13147572.908264378,-103335060.23320335,36651980.58275668
231,680193688.8127843,112479528.30108458,-49791092.773886845,42712357.30117797
232,643760412.0311567,25154222.005903278,-87010317.87446809,38499697.388586484
233,626753272.6522638,-15609436.568325642,-104384339.77905756,36533217.823249996
234,659984934.4023361,64042060.5620748,-70435795.79944986,40375685.52447868
235,592056583.9300057,-98772391.91434701,-139829514.6816271,32521353.873817064
236,626767301.6383177,-15575811.113456523,-104370008.15599221,36534839.94874579
237,646176403.8437017,30945005.698011797,-84542207.6451512,38779050.57218452
238,633128444.7432677,-329069.1485020112,-97871640.78324093,37270357.994984046
239,620558473.2390943,-30457476.711260177,-110712775.0497488,35816933.550747626
240,722599305.3715864,214119671.09770364,-6470690.996935543,47615579.21055277
241,880400346.7156333,592345992.9205118,154734476.30363187,65861594.38562706
242,700532712.3794463,161229232.40673664,-29013310.391288858,45064091.67176679
243,734099065.653944,241682936.81758648,5277145.167162338,48945258.65268096
244,611054837.2581007,-53236320.56690386,-120421425.98912688,34718059.39345016
245,581179109.3861758,-124844128.52896261,-150941640.99404263,31263627.28403809
246,598025917.4958827,-84464760.86752397,-133731409.06734231,33211568.272279702
247,609376369.2838111,-57259366.06017716,-122136102.3201537,34523983.664488435
248,625194051.0594232,-19346665.69520744,-105977197.31403455,36352930.16102157
249,542692602.626366,-127192593.95810132,-152487617.97226432,23731166.486962236
250,558276801.9912343,-89839517.2348861,-136567232.1214409,25533116.180581905
251,549868428.992867,-109993173.7925313,-145156992.77436396,24560883.678063717
252,530046473.7693293,-157503539.7044348,-165406552.4782695,22268936.218605746
